"ville_id","ville_departement","ville_nom","ville_nom_simple","ville_nom_reel","ville_code_postal","ville_code_commune","ville_arrondissement","ville_longitude_deg","ville_latitude_deg"
"88","01","CONZIEU","conzieu","Conzieu","01300","01117","1","5.6","45.7333"
"89","01","NIEVROZ","nievroz","Niévroz","01120","01276","2","5.06667","45.8333"
"90","01","NURIEUX-VOLOGNAT","nurieux volognat","Nurieux-Volognat","01460","01267","4","5.52667","46.1856"
"91","01","AMBLEON","ambleon","Ambléon","01300","01006","1","5.6","45.75"
"92","01","SAINT-MAURICE-DE-GOURDANS","saint maurice de gourdans","Saint-Maurice-de-Gourdans","01800","01378","2","5.2","45.8167"
"93","01","CHEZERY-FORENS","chezery forens","Chézery-Forens","01200","01104","3","5.88333","46.2167"
"94","01","SAULT-BRENAZ","sault brenaz","Sault-Brénaz","01150","01396","1","5.41667","45.85"
"95","01","MURS-ET-GELIGNIEUX","murs et gelignieux","Murs-et-Gélignieux","01300","01268","1","5.66667","45.6333"
"96","01","LE PETIT-ABERGEMENT","le petit abergement","Le Petit-Abergement","01260","01292","4","5.65","46.0333"
"97","01","CORMOZ","cormoz","Cormoz","01560","01124","2","5.23333","46.45"
"98","01","SAINT-MARTIN-DE-BAVEL","saint martin de bavel","Saint-Martin-de-Bavel","01510","01372","1","5.68333","45.85"
"99","01","SAINT-TRIVIER-DE-COURTES","saint trivier de courtes","Saint-Trivier-de-Courtes","01560","01388","2","5.08333","46.4667"
"100","01","BOYEUX-SAINT-JEROME","boyeux saint jerome","Boyeux-Saint-Jérôme","01640","01056","4","5.46667","46.0333"
"101","01","CHATEAU-GAILLARD","chateau gaillard","Château-Gaillard","01500","01089","1","5.3","45.9667"
"102","01","PREMEYZEL","premeyzel","Prémeyzel","01300","01310","1","5.65","45.6833"
"103","01","ARANDAS","arandas","Arandas","01230","01013","1","5.48333","45.9"
"104","01","CHATENAY","chatenay","Châtenay","01320","01090","2","5.2","46.0333"
"105","01","INNIMOND","innimond","Innimond","01680","01190","1","5.56667","45.7833"
"106","01","BOZ","boz","Boz","01190","01057","2","4.9","46.4"
"107","01","BRIORD","briord","Briord","01470","01064","1","5.46667","45.7833"
"108","01","REYRIEUX","reyrieux","Reyrieux","01600","01322","2","4.81667","45.9333"
"109","01","MATAFELON-GRANGES","matafelon granges","Matafelon-Granges","01580","01240","4","5.56667","46.2667"
"110","01","DROM","drom","Drom","01250","01150","2","5.36667","46.2167"
"111","01","CHATILLON-EN-MICHAILLE","chatillon en michaille","Châtillon-en-Michaille","01200","01091","4","5.78333","46.1333"
"112","01","POLLIAT","polliat","Polliat","01310","01301","2","5.13333","46.25"
"113","01","VESANCY","vesancy","Vesancy","01170","01436","3","6.08333","46.35"
"114","01","MASSIEUX","massieux","Massieux","01600","01238","2","4.83333","45.9167"
"115","01","SAINT-CYR-SUR-MENTHON","saint cyr sur menthon","Saint-Cyr-sur-Menthon","01380","01343","2","4.98333","46.2667"
"116","01","SERRIERES-SUR-AIN","serrieres sur ain","Serrières-sur-Ain","01450","01404","4","5.45","46.15"
